#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio Mensual, 12 B otellones Agua,2 Caja Vasos-Pl usvalias",112.68
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 1 Botellon A gua y 1 Caja Vasos-Participaci ón Ciudadana",30.38
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 11 Botellone s de Agua , 2 Caja Vasos-Polic ia local arona",106.3
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 12 Botellone s Agua y 1 Caja Vasos-Sac Aron a",99.44
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2Botellones Agua y 1 Caja Vasos-Medio Ambi ente",37.88
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 3 Botellones  Agua y 1 Caja Vasos-Urbanismo",44.27
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 3 Caja Vasos -Cementerio",22.88
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 8 Botellones  Agua-Informatica",63.63
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,1 Botellon Ag ua, 1 Caja Vasos-Recaudacion",30.38
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,3 Botellones Agua-Archivo",31.02
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-AlcaldÍa,9.63
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-Juventud,9.63
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-Obras e Infra estructura,9.63
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-Tesoreria,9.63
Productos alimenticios,920,22105,2014-03-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1Cuota Servicio, 4 Botellones Agua-Turismo",38.15
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2014-03-19,B35226166,"TELYCAN, S.L.",Instalacion Radioenlace Emplaz amiento Polideportivo- Campo F útbol el Fraile,1797.6
Servicios de Recaudación,931,22708,2014-03-19,S3826006C,DELEGACION PROVINCIAL HACIENDA,Costas Servicio Febrero 2014.,343.08
Actividades Socioculturales,339,22609,2014-03-20,B38443073,YAIZA BUS S.L.,Servicio Transporte Alumnos IE S Las Galletas-Arona y Regreso .Proyecto Conoce Tu Municipio,170
Fiestas del Municipio,338,22611,2014-03-20,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Animalia Reno Tigre y Elastico  25 metros-Carnaval de Arona,48
Fiestas del Municipio,338,22611,2014-03-20,B38817409,"HESPERIDES DE COMUNICACION, S.L.",Alojamiento Anual Sitio Web: C arnavaldearona.com,160.5
"Reparación, man. y conserv. elementos de transport",150,21400,2014-03-20,B38788287,"TALLER JUAN GOMEZ, S.L.",Revisión pre-ITV Vehículo TF68 38AK,62.23
Actividades Socioculturales,339,22609,2014-03-21,B38443073,YAIZA BUS S.L.,Servicio Transporte Alumnos IE S Cabo Blanco-Arona y Regreso.  Proyecto Conoce Tu Municipio,170
Fiestas del Municipio,338,22611,2014-03-21,B38913844,KUSERV  TENERIFE 2007  S.L.,25 Vallas Antipanico y Transpo rte Montajes y Desmontaje- Car naval 2014,968.35
Informáticas,920,22203,2014-03-21,B64074230,UBILIBET S.L.,"Servicio Renovacion Nombre Dom inio:UNION EUROPEA arona.eu, E SPAñA arona.es",400
Postales,920,22201,2014-03-21,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 21/3/ 14, Multas 578",48.09
Postales,920,22201,2014-03-21,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 21/3/ 14, Multas Resolucion Estimato ria",19.05
Postales,920,22201,2014-03-21,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 21/3/ 14, Plusvalia 576",21.48
Atenciones protocolarias y representativas,912,22601,2014-03-22,B38454781,DRAYCA SUR SERVICIOS S.L.,Cuadro Pintadera Canaria. Aniv ersario Orquesta Maracaibo.,50
Publicidad y propaganda,170,22602,2014-03-22,A38011623,CANARIA DE AVISOS S.A.,Difusión Informativa Día Mundi al del Agua.,2675
Cámaras de seguridad Edificios Públicos,334,62207,2014-03-24,B38860037,"JEMELCA MONTAJES ELECTRICOS CANARIOS, S.L.",Suministro e Instalación Graba dor Digital Samsung. CEIP Aron a.,1990.41
Cámaras de seguridad Edificios Públicos,334,62207,2014-03-24,B38860037,"JEMELCA MONTAJES ELECTRICOS CANARIOS, S.L.","Suministro e Instalación Graba dor Digital Samsung. CEIP EL V alle,El Fraile,Los Cristianos, Las Galletas,Buzanada.",9952.07
Fiestas del Municipio,338,22611,2014-03-24,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Goma Eva, Riel Cromado, Elasti co, Cordon Multicolor, Tachuel as, Galon Metalizado,Piedras-C arnavla de Arona",157.52
Ordinario no inventariable,920,22000,2014-03-24,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Material Concejalía de Fiestas Carnaval Arona 2014.,408.16
Productos alimenticios,920,22105,2014-03-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,3 Botellones Agua-Sac las Galletas",31.02
Fiestas del Municipio,338,22611,2014-03-25,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Cordon Multicolor-Concejalia F iestas Carnaval de Arona,28.62
Fiestas del Municipio,338,22611,2014-03-25,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,"Galon Boa, Malla,Body ,Galon E lastico-Carnaval de Arona",224.35
Plan de Promoción Económica,433,22614,2014-03-25,B38492237,HIT RADIO CANARIAS S.L.,56 Cuñas mes Marzo 2015 Carnav al de Arona con Ruta de Sabore s. Concejalía Promoción Económ ica.,479.36
Primas de seguros vehiculos mples.,130,22401,2014-03-25,W0072130H,ZURICH SEGUROS,"Poliza Vehiculo 3109-BZH, Peri odo: 19/03/2014-30/12/2014",330.24
Primas de seguros vehiculos mples.,130,22401,2014-03-25,W0072130H,ZURICH SEGUROS,"Poliza Vehiculo TF2836-BN, Per iodo: 19/03/2014-30/12/2014",330.09
"Reparación, man. y conserv. elementos de transport",150,21400,2014-03-25,B38788287,"TALLER JUAN GOMEZ, S.L.","Revision Pre itv, Hyundai H1 L ibero E-5557-FHP. Mantenimient o.",52.98
Fiestas del Municipio,338,22611,2014-03-26,B38436499,TECNISUR TENERIFE S.L.,Cuota Publicidad de Radio Deci belios- 6 cuÑas diarias de Cam paña Carnaval Arona 2014,153.44
"Jurídicos, Contenciosos",920,22604,2014-03-26,S2813031H,JUZGADO CONT-ADMINISTRATIVO Nº1 SANTA CRUZ,Ejecución setencia imposición  de costas al Ayuntamiento proc edimiento abreviado nº. 525/20 12 a instancia de BASEFIS S.L.,683.35
Postales,920,22201,2014-03-26,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 26/03 /2014, Multas 580",31.97
Postales,920,22201,2014-03-26,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 26/03 /2014, Rentas EMI0214R",55.13
Primas de seguros vehículos municipales.,170,22401,2014-03-26,W0072130H,ZURICH SEGUROS,"Poliza Vehiculo 2769CYZ, Perio do: 19/3/14-30/12/14",320.98
Actividades Socioculturales,339,22609,2014-03-27,B76537299,JUNIOR PRODUCCIONES S.L.,"Visitas Guiadas por el Casco H istorico de Arona, Enero 29, F ebrero 6,7,20,27 y 28, Marzo 1 3,20 y 21",789.8
Limpieza a Fondo Zona URBAN,494,22739,2014-03-27,U76525534,UTE ARONA,"Limpiezas Intensivas Bajo Plan  Urban del 11/11/al 30/12/13, Rectifica a la 00004",44836.17
Material informático no inventariable,920,22002,2014-03-27,A03122173,"CYPE INGENIEROS, S.A.","Actualizacion de Programas Lic encias 46461 y 75231, Arquimed es",170
Ordinario no inventariable,931,22000,2014-03-27,B38844320,LITOGRAFIA SANTA ELENA S.L.,"10 Talones de 50 H.c/u Polizas  de 0.40 y 10 Talones de 50H,c /u polizas de 0.50- Tesoreria",189.82
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-03-27,A81962201,ARANZADI EDITORIAL,Agrupacion Revista Esp.Dcho Ad ministrativo-Secretaria,275
Productos alimenticios,920,22105,2014-03-27,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,10 Botellones  Agua y 2 Caja Vasos-Sac Los C ristianos",99.92
Fiestas del Municipio,338,22611,2014-03-28,A38010856,AGUAS DE VILAFLOR S.A.,Suministro Agua PET 33CL. Conc ejalía de Fiestas.,89.67
Ordinario no inventariable,130,22000,2014-03-28,B38081790,THE RED PEN S.L.,10 Tals. 25 Acta de Denuncia C onvivencia.,117.7
Ordinario no inventariable,130,22000,2014-03-28,B38081790,THE RED PEN S.L.,5 Talonarios X 25 - Acta por I nfraccion Administrativa.,80.25
Postales,920,22201,2014-03-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 28/03 /14, Castastro Notf 901",22.32
Postales,920,22201,2014-03-28,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 28/03 /2014, Multas 581",44.15
Fiestas del Municipio,338,22611,2014-03-29,B38425468,ORQUESTA WAMAMPY,Actuacion en Carnavales Los Cr istianos 29/3/14,1605
Arrendamientos de Edificios y Otras Construcciones,132,20200,2014-03-31,B38404323,"FULGENCIO DIAZ RODRIGUEZ E HIJOS, S.L.","1 Trimetre 2014 Arrendamiento Local CL.Duque de la Torre, 5,  Arona",4441.29
Combustibles y carburantes,150,22103,2014-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Gasoil, Havoline, Aceite, Refr igerante Marzo 2014 Vehiculos Mantenimiento",618.85
Combustibles y carburantes,150,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2013 Vehícul os,1350.3
Combustibles y carburantes,912,22103,2014-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y Lavados Marzo 20 14 Vehículos  Alcaldía.,243.5
Combustibles y carburantes,912,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2013 Vehícul os,1350.3
Combustibles y carburantes,920,22103,2014-03-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Marzo 2014,2951.78
Combustibles y carburantes,920,22103,2014-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y Lavados Marzo 20 14 Vehículos  Alcaldía.,243.5
Combustibles y carburantes,920,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2013 Vehícul os,1350.3
Combustibles y carburantes,931,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2013 Vehícul os,1350.3
Combustibles y carburantes.,130,22103,2014-03-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Marzo 2014,2951.78
Combustibles y carburantes.,130,22103,2014-03-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Marzo 2014-Policia Local,194.5
Combustibles y carburantes.,130,22103,2014-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible Marzo Policia Loca l,51.49
Combustibles y carburantes.,130,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2013 Vehícul os,1350.3
Combustibles y carburantes.,130,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2014 Vehícul os,200.03
Combustibles y carburantes.,130,22103,2014-03-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Marzo 2014.,1088.75
Combustibles y carburantes.,170,22103,2014-03-31,B38983318,"PICAMOLINOS, S.L.",Combustible Marzo 2013 Vehícul os,1350.3
Estudios y Trabajos Técnicos,920,22706,2014-03-31,B06290241,"PREVING CONSULTORES, S.L.",1 Trimestre Servicio Prevencio  R.Laborales y Vigilancia Salu d,3083
Estudios y Trabajos Técnicos,920,22706,2014-03-31,B06290241,"PREVING CONSULTORES, S.L.",Servicio Vigilancia Salud. Nº Reconocimientos Medicos: 4.,104
Fiestas del Municipio,338,22611,2014-03-31,A28281368,RADIO POPULAR S.A. CADENA COPE,"Programacion Marzo 2014, Emiso ra Cope Tenerife-Carnaval Aron a 2014",1070
Fiestas del Municipio,338,22611,2014-03-31,A38022182,RADIO CLUB DE CANARIAS S.A.,"Cuñas  en 40 Principales, Cade l Dial S/C, Dial tfs, Radio Cl ub FM , Radio Club ONDA-Carnav al 2014, Tajarastes 28 Marzo",3450.09
Fiestas del Municipio,338,22611,2014-03-31,B38296356,CAMIONES TEIDE SUR S.L.,Trasnsporte Actos del Carnaval  Arona 2014,2884
Fiestas del Municipio,338,22611,2014-03-31,B38492237,HIT RADIO CANARIAS S.L.,Promocion y Difusion Carnaval Arona 2014.,321
Fiestas del Municipio,338,22611,2014-03-31,B38645735,AINHFER S.L.,"Alquiler de Tarima, Escenarios , Rampa,, Torre Sonido-Evento Carnaval de Arona",3604.83
Fiestas del Municipio,338,22611,2014-03-31,B76528595,"SPORTIFE EVENTOS, S.L.",Enigma en Carnaval Los Cristia nos.,535
Limpieza y Aseo,920,22700,2014-03-31,B35745926,RALONS SERVICIOS S.L.,Limpieza Extra Marzo Sala Anex a C.Civico Cabo Blanco,181.26
Limpieza y Aseo,920,22700,2014-03-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Marzo 2014 Limpieza C entros Educativos y Dependenci as  Municipales, Expte 1/10-ca sv",139226.13
Mantenimiento de Ascensores,323,21302,2014-03-31,A28011153,"ZARDOYA OTIS, S.A.",1º Trimestre Mantenimiento Asc ensor inst.CEIP Cho Parque la  Reina,841.67
Mantenimiento Integral del Litoral,173,22730,2014-03-31,U76534924,UTE LITORAL ARONA,"Servicio Marzo 2014 Gestión de l Litoral, Expte 2/10-casp",22491
Ordinario no inventariable,920,22000,2014-03-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Material Oficina Marzo 2014.,678.23
Postales,920,22201,2014-03-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturacion Marzo 2014,16864.15
Productos alimenticios,920,22105,2014-03-31,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","4 Cuota de Servicio: C.Civico Cabo Blanco, Urbanismo, Polic. Local los cristianos, Informat ica",38.52
Publicidad y Propaganda,920,22602,2014-03-31,A38011623,CANARIA DE AVISOS S.A.,"Publicacion en Diario de Aviso s Periodo Voluntario de Basura , Vados e Ivtm.",269.64
Repar. mant. y cons. Equipos para procesos informa,920,21600,2014-03-31,B38581393,TECNISUR COPIADORAS S.L.,Facturación Marzo 2014 Contado res Fotocopiadoras.,1966.84
"Reparación, man. y conserv. elementos de transport",150,21400,2014-03-31,B38233912,SERVICIOS E LEON S.L.,"Reparacion 2073-CFJ, Renault C lio",26.75
"Reparación, man. y conserv. elementos de transport",912,21400,2014-03-31,B38233912,SERVICIOS E LEON S.L.,"Reparacion 6139-BDC, Seat Tole do",96.62
"Reparación, man. y conserv. elementos de transport",912,21400,2014-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y Lavados Marzo 20 14 Vehículos  Alcaldía.,243.5
Servicio de Atención Telefónica,925,22720,2014-03-31,B62916077,KONECTA BTO S.L.,"Servicio Marzo 2014 Atencion T elefonica 010 y Apoyo Servicio  092, Expte 1/09-CASV",38705.12
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2014-03-31,A28010478,IMESAPI S.A.,"Certificacion Marzo 2014 ""Mant enimiento Ins.Elec.Espacios Pu blicos, Dependencias Adm, Loca les Sociales"", Ex3/9-casv",192697.52
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2014-03-31,A28010478,IMESAPI S.A.,"Certificacion Marzo 2014 ""Mant enimiento Ins.Elec.Espacios Pu blicos, Dependencias Adm, Loca les Sociales"", Ex3/9-casv",192697.52
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2014-03-31,A28010478,IMESAPI S.A.,"Certificacion Marzo 2014 ""Mant enimiento Ins.Elec.Espacios Pu blicos, Dependencias Adm, Loca les Sociales"", Ex3/9-casv",192697.52
Servicio de Vigilancia y Socorrismo en Playas,173,22736,2014-03-31,B62137252,PRO ACTIVA SERVEIS AQUATICS S.L.,"Contratacion Servicio Marzo 20 14 Vigilancia, Salvamento y As istencia en Playas Turisticas de Arona",11941.2
Servicio Mantenimiento Alumbrado Público,165,22712,2014-03-31,A28010478,IMESAPI S.A.,"Certificacion Marzo 2014 ""Mant enimiento Ins.Elec.Espacios Pu blicos, Dependencias Adm, Loca les Sociales"", Ex3/9-casv",192697.52
Servicio Mantenimiento Jardines Municipales,171,22741,2014-03-31,U76535509,UTE ZONAS VERDES ARONA,Servicio Marzo 2014 Gestion Zo nas Verdes Arona,367969.47
Servicio Recogida de Papel Cartón,162,22710,2014-03-31,U38732830,UTE CLUSA-MCCSA,"Servicio Marzo 2014, Recogida,  Transporte de los Residuos de  Papel y Carton Generados en e l Municipio",17989.01
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-03-31,U76525534,UTE ARONA,"Servicio Marzo 2014 Gestion de  Residuos, Expte 1/10-casp",542153.3
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-03-31,U76525534,UTE ARONA,"Servicio Marzo 2014 limpieza V iaria, Expte 1/10-casp",523772.9
Arrendamientos de Material de Transporte,132,20400,2014-04-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,Renting  Abril Vehículos Polic ia Local.,11492.78
Asistencia Médico-Farmacéutica,221,16008,2014-04-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Primas Abril 2014, Poliza de S alud, Expte 6/12-casv  Aportación empresa.",16857.5
Cánones,173,20900,2014-04-01,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,Gravamen de la tasa Ocupacion por43 m2 en el puerto de los c ristianos periodo 01/04/14-30/ 04/2014,4.49
Cánones,173,20900,2014-04-01,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,"Tasa Ocupacion Dominio Publico  , en Puerto de los Cristianos  de 43 m2 periodo 01/04/14-30/ 04/2014",22.45
"Desinfectantes, raticidas",313,22115,2014-04-01,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Abril Desratización y  Desinsectación.,3852
Festejos y Actos Populares,338,22610,2014-04-01,A38011623,CANARIA DE AVISOS S.A.,"Insercion Anuncio Formato Fald on 29/12/2013 y 5/01/2014, Cam paña Fiesta Fin Año y Cabalgat a  de Reyes en Arona.",1391
Fiestas del Municipio,338,22611,2014-04-01,A38022182,RADIO CLUB DE CANARIAS S.A.,Carnaval de Día  40 Principale s-Arona 2014.,10700
Fiestas del Municipio,338,22611,2014-04-01,B38418653,SANITARIOS PORTATILES S.L.,"Alquiler Sanitarios portatiles  , para Carnaval 2014",5093.2
Fiestas del Municipio,338,22611,2014-04-01,B38621850,FERRETERIA HERMALAY S.L.,Material de Ferreteria- Carnav al Arona 2014,1825.71
Fiestas del Municipio,338,22611,2014-04-01,B38621850,FERRETERIA HERMALAY S.L.,Material Vario Ferreteria-Fies tas Sardina del Carnaval Arona  2014,213.43
Fiestas del Municipio,338,22611,2014-04-01,B38621850,FERRETERIA HERMALAY S.L.,Silicona y Alambre-Fiestas Sar dina del Carnaval 2014,24.81
Fiestas del Municipio,338,22611,2014-04-01,B38857694,"CANARIAS 24 HORAS DE INFORMACION, S.L.","Banner Campaña Carnaval de Aro na 21/3 al 31/03/14, Publicaci on Gratuita del Video",178.33
Fiestas del Municipio,338,22611,2014-04-01,B38940425,"EXPLOTACIONES LA ESTRELLA, S.L.",Base de Cemento y Valla Enreja da. Carnaval Arona 2014.,922.94
Fiestas del Municipio,338,22611,2014-04-01,B76563378,"NEGOCIOS Y NUEVAS TECNOLOGIAS, S.L.",Pomoción Campaña Carnaval 2014  Medios Eldigitaldetenerife.co m y Onda Nueva Radio.,240.75
"Jurídicos, Contenciosos",920,22604,2014-04-01,B38568499,ANA MAR ASESORES S.L.,"2ºPago 70% Direccion Letrada P roc.Abreviado 252/13, Juzg.4 s /c tfe, Exp 14/13-cmsv",6420
Mantenimiento de Ascensores,323,21302,2014-04-01,A28011153,"ZARDOYA OTIS, S.A.","2º Trimestre 2014, Colegio la  Estrella",662.68
Material Convenios Fomento Empleo,241,22612,2014-04-01,B38729448,"FERRETERIA TAPIA E HIJOS, S.L.",Material Ferretería. Promocion  Empleo Arona 2013.,1476.82
Productos de limpieza y aseo,164,22110,2014-04-01,B38621850,FERRETERIA HERMALAY S.L.,Compra Cemento y Revuelto - Ce menterio Municipal,62.06
Publicidad y Propaganda,920,22602,2014-04-01,B38492237,HIT RADIO CANARIAS S.L.,"Agenda Radiofonica 2014, Enero  y Febrero: Distintos Actos",2086.5
Repar. conserv. y man. elementos de transporte,132,21400,2014-04-01,B38233912,SERVICIOS E LEON S.L.,Reparación Vehículo 8629CDV Po licia Local.,49.15
Repar. conserv. y man. elementos de transporte,132,21400,2014-04-01,B38905774,FRANELIPAL S.L.,"Desmontar moto completa, Repar ar Plasticos, Preparar ,pintar  y Colocar, 9729DVL, Motocicle ta",652.7
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2014-04-01,B38621850,FERRETERIA HERMALAY S.L.,Estanteria Acero con 4 Bandeja s,159.43
Seguridad,920,22701,2014-04-01,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Marzo 2014 Vigilancia,1464.98
Servicio de mantenimiento de vías y edificios,155,22713,2014-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Marzo 2014 ""Mant enimiento y Conservacion Ed.Mu nicipales y Vias Publicas""",194173.79
Servicio de mantenimiento de vías y edificios,320,22713,2014-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Marzo 2014 ""Mant enimiento y Conservacion Ed.Mu nicipales y Vias Publicas""",194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2014-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Marzo 2014 ""Mant enimiento y Conservacion Ed.Mu nicipales y Vias Publicas""",194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2014-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Marzo 2014 ""Mant enimiento y Conservacion Ed.Mu nicipales y Vias Publicas""",194173.79
